Date,Close
2020-01-02,3257.850098
2020-01-03,3234.850098
2020-01-06,3246.280029
2020-01-07,3237.179932
2020-01-08,3253.050049
2020-01-09,3274.699951
2020-01-10,3265.350098
2020-01-13,3288.129883
2020-01-14,3283.149902
2020-01-15,3289.290039
2020-01-16,3316.810059
2020-01-17,3329.620117
2020-01-21,3320.790039
2020-01-22,3321.750000
2020-01-23,3325.540039
2020-01-24,3295.469971
2020-01-27,3243.629883
2020-01-28,3276.239990
2020-01-29,3273.399902
2020-01-30,3283.659912
2020-01-31,3225.520020
2020-02-03,3248.919922
2020-02-04,3297.590088
2020-02-05,3334.689941
2020-02-06,3345.780029
2020-02-07,3327.709961
2020-02-10,3352.090088
2020-02-11,3357.750000
2020-02-12,3379.449951
2020-02-13,3373.939941
2020-02-14,3380.159912
2020-02-18,3370.290039
2020-02-19,3386.149902
2020-02-20,3373.229980
2020-02-21,3337.750000
2020-02-24,3225.889893
2020-02-25,3128.209961
2020-02-26,3116.389893
2020-02-27,2978.760010
2020-02-28,2954.219971
2020-03-02,3090.229980
2020-03-03,3003.370117
2020-03-04,3130.120117
2020-03-05,3023.939941
2020-03-06,2972.370117
2020-03-09,2746.560059
2020-03-10,2882.229980
2020-03-11,2741.379883
2020-03-12,2480.639893
2020-03-13,2711.020020
2020-03-16,2386.129883
2020-03-17,2529.189941
2020-03-18,2398.100098
2020-03-19,2409.389893
2020-03-20,2304.919922
2020-03-23,2237.399902
2020-03-24,2447.330078
2020-03-25,2475.560059
2020-03-26,2630.070068
2020-03-27,2541.469971
2020-03-30,2626.649902
2020-03-31,2584.590088
2020-04-01,2470.500000
2020-04-02,2526.899902
2020-04-03,2488.649902
2020-04-06,2663.679932
2020-04-07,2659.409912
2020-04-08,2749.979980
2020-04-09,2789.820068
2020-04-13,2761.629883
2020-04-14,2846.060059
2020-04-15,2783.360107
2020-04-16,2799.550049
2020-04-17,2874.560059
2020-04-20,2823.159912
2020-04-21,2736.560059
2020-04-22,2799.310059
2020-04-23,2797.800049
2020-04-24,2836.739990
2020-04-27,2878.479980
2020-04-28,2863.389893
2020-04-29,2939.510010
2020-04-30,2912.429932
2020-05-01,2830.709961
2020-05-04,2842.739990
2020-05-05,2868.439941
2020-05-06,2848.419922
2020-05-07,2881.189941
2020-05-08,2929.800049
2020-05-11,2930.189941
2020-05-12,2870.120117
2020-05-13,2820.000000
2020-05-14,2852.500000
2020-05-15,2863.699951
2020-05-18,2953.909912
2020-05-19,2922.939941
2020-05-20,2971.610107
2020-05-21,2948.510010
2020-05-22,2955.449951
